"metrics","values"
"auc",0.997656121495327
"cbi",0.865202592448417
"pr",0.456578825635168
"prg",0.999976424181024
"tss_maxsss",0.979186666666667
"spec_maxsss",0.979186666666667
"sens_maxsss",1
"kap_maxsss",NA
"fmeas_maxsss",0.12056338028169
"opr_maxsss",0.935851318944844
"upr_maxsss",0
"tss_mtp",0.97946
"spec_mtp",0.97946
"sens_mtp",1
"kap_mtp",NA
"fmeas_mtp",0.121972071815332
"opr_mtp",0.9350531107739
"upr_mtp",0
"tss_p10",0.8993753894081
"spec_p10",0.992833333333333
"sens_p10",0.906542056074766
"kap_p10",NA
"fmeas_p10",0.261631827376939
"opr_p10",0.847123719464145
"upr_p10",0.000134277753533183
